Episode 548 | joint_return= 2.00 | mean_joint_return= -1.30 | eps=0.935 | loss= 0.0020 | per_agent=[1.0, 1.0]

Episode 549 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.933 | loss= 0.0022 | per_agent=[0.0, 0.0]

Episode 550 | joint_return= -2.00 | mean_joint_return= -1.30 | eps=0.932 | loss= 0.0028 | per_agent=[-1.0, -1.0]

Episode 551 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.931 | loss= 0.0031 | per_agent=[0.0, 0.0]

Episode 552 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.929 | loss= 0.0034 | per_agent=[-1.0, -1.0]

Episode 553 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.928 | loss= 0.0032 | per_agent=[0.0, 0.0]

Episode 554 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.927 | loss= 0.0026 | per_agent=[-1.0, -1.0]

Episode 555 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.925 | loss= 0.0035 | per_agent=[-1.0, -1.0]

Episode 556 | joint_return= -2.00 | mean_joint_return= -1.30 | eps=0.924 | loss= 0.0020 | per_agent=[-1.0, -1.0]

Episode 557 | joint_return= 2.00 | mean_joint_return= -1.10 | eps=0.923 | loss= 0.0022 | per_agent=[1.0, 1.0]

Episode 558 | joint_return= 2.00 | mean_joint_return= -0.90 | eps=0.921 | loss= 0.0022 | per_agent=[1.0, 1.0]

Episode 559 | joint_return= 0.00 | mean_joint_return= -0.80 | eps=0.920 | loss= 0.0020 | per_agent=[0.0, 0.0]

Episode 560 | joint_return= 0.00 | mean_joint_return= -0.70 | eps=0.919 | loss= 0.0021 | per_agent=[0.0, 0.0]

Episode 561 | joint_return= -4.00 | mean_joint_return= -0.90 | eps=0.917 | loss= 0.0023 | per_agent=[-2.0, -2.0]

Episode 562 | joint_return= 0.00 | mean_joint_return= -0.80 | eps=0.916 | loss= 0.0020 | per_agent=[0.0, 0.0]

Episode 563 | joint_return= -4.00 | mean_joint_return= -0.90 | eps=0.914 | loss= 0.0021 | per_agent=[-2.0, -2.0]

Episode 564 | joint_return= 0.00 | mean_joint_return= -0.80 | eps=0.913 | loss= 0.0024 | per_agent=[0.0, 0.0]

Episode 565 | joint_return= -2.00 | mean_joint_return= -0.90 | eps=0.912 | loss= 0.0020 | per_agent=[-1.0, -1.0]

Episode 566 | joint_return= 2.00 | mean_joint_return= -0.80 | eps=0.910 | loss= 0.0020 | per_agent=[1.0, 1.0]

Episode 567 | joint_return= 0.00 | mean_joint_return= -0.60 | eps=0.909 | loss= 0.0028 | per_agent=[0.0, 0.0]

Episode 568 | joint_return= -4.00 | mean_joint_return= -0.90 | eps=0.908 | loss= 0.0028 | per_agent=[-2.0, -2.0]

Episode 569 | joint_return= -2.00 | mean_joint_return= -1.00 | eps=0.906 | loss= 0.0026 | per_agent=[-1.0, -1.0]

Episode 570 | joint_return= -4.00 | mean_joint_return= -1.10 | eps=0.905 | loss= 0.0032 | per_agent=[-2.0, -2.0]

Episode 571 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.904 | loss= 0.0027 | per_agent=[-1.0, -1.0]

Episode 572 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.902 | loss= 0.0027 | per_agent=[0.0, 0.0]

Episode 573 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.901 | loss= 0.0032 | per_agent=[0.0, 0.0]

Episode 574 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.900 | loss= 0.0034 | per_agent=[0.0, 0.0]

Episode 575 | joint_return= 0.00 | mean_joint_return= -0.90 | eps=0.898 | loss= 0.0029 | per_agent=[0.0, 0.0]

Episode 576 | joint_return= 2.00 | mean_joint_return= -0.70 | eps=0.897 | loss= 0.0035 | per_agent=[1.0, 1.0]

Episode 577 | joint_return= 0.00 | mean_joint_return= -0.80 | eps=0.895 | loss= 0.0032 | per_agent=[0.0, 0.0]

Episode 578 | joint_return= -2.00 | mean_joint_return= -1.00 | eps=0.894 | loss= 0.0028 | per_agent=[-1.0, -1.0]

Episode 579 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.893 | loss= 0.0032 | per_agent=[0.0, 0.0]

